effect,threshold,ci.lower,ci.upper,sem,df,eye,stimulus,filter.type
G*F*A,0.256,0.126,0.385,0.065,136,ambly,grating,filtered
G*F*N,0.22,0.088,0.352,0.067,136,norm,grating,filtered
G*U*A,0.281,0.152,0.411,0.065,136,ambly,grating,unfiltered
G*U*N,0.267,0.14,0.394,0.064,136,norm,grating,unfiltered
V*F*A,-0.146,-0.284,-0.009,0.07,136,ambly,vernier,filtered
V*F*N,-0.024,-0.159,0.111,0.068,136,norm,vernier,filtered
V*U*A,0.064,-0.085,0.212,0.075,136,ambly,vernier,unfiltered
V*U*N,-0.209,-0.336,-0.082,0.064,136,norm,vernier,unfiltered
